Conventions,G,BADC-CSV,1
title,G,uk-radiation-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202507
history,G,Created 2025-06-24
last_revised_date,G,2025-06-24
observation_station,G,aberdeen-mannofield-resr
historic_county_name,G,aberdeenshire
authority,G,Met Office
authority_comments,G,The authority is the latest organisation which owned the station
authority_comments,G,Closed stations without an authority listed have the authority set to NA
midas_station_id,G,00163
location,G,57.128,-2.14
height,G,52,m
date_valid,G,1994-01-01 00:00:00,1994-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,glbl_irad_amt,Global solar irradiation amount,KJ/m2
type,glbl_irad_amt,int
long_name,glbl_irad_amt_q,QC code: Global solar irradiation amount,1
type,glbl_irad_amt_q,int
long_name,difu_irad_amt,Diffuse solar irradiation amount,KJ/m2
type,difu_irad_amt,int
long_name,difu_irad_amt_q,QC code: Diffuse solar irradiation amount,1
type,difu_irad_amt_q,int
long_name,direct_irad,Direct solar irradiation amount,KJ/m2
type,direct_irad,int
long_name,direct_irad_q,QC code: Direct solar irradiation amount,1
type,direct_irad_q,int
long_name,irad_bal_amt,Irradiation balance amount,KJ/m2
type,irad_bal_amt,int
long_name,irad_bal_amt_q,QC code: Irradiation balance amount,1
type,irad_bal_amt_q,int
long_name,glbl_s_lat_irad_amt,Mean global S latitude radiation,KJ/m2
type,glbl_s_lat_irad_amt,int
long_name,glbl_s_lat_irad_amt_q,QC code: Mean global S latitude radiation,1
type,glbl_s_lat_irad_amt_q,int
long_name,glbl_horz_ilmn,Global horizontal illumination,KJ/m2
type,glbl_horz_ilmn,int
long_name,glbl_horz_ilmn_q,QC code: Global horizontal illumination,1
type,glbl_horz_ilmn_q,int
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,glbl_irad_amt,glbl_irad_amt_q,difu_irad_amt,difu_irad_amt_q,direct_irad,direct_irad_q,irad_bal_amt,irad_bal_amt_q,glbl_s_lat_irad_amt,glbl_s_lat_irad_amt_q,glbl_horz_ilmn,glbl_horz_ilmn_q,meto_stmp_time,midas_stmp_etime
1994-01-29 23:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-29 23:59:00,DCNN,1280,24,1,DRADR35,163,2001,1242.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 00:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 01:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 02:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 03:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 04:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 05:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 06:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 07:00:00,DCNN,1280,1,1,MODLERAD,163,2001,4.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 08:00:00,DCNN,1280,1,1,MODLERAD,163,2001,130.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 09:00:00,DCNN,1280,1,1,MODLERAD,163,2001,407.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 10:00:00,DCNN,1280,1,1,MODLERAD,163,2001,637.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 11:00:00,DCNN,1280,1,1,MODLERAD,163,2001,788.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 12:00:00,DCNN,1280,1,1,MODLERAD,163,2001,770.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 13:00:00,DCNN,1280,1,1,MODLERAD,163,2001,583.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 14:00:00,DCNN,1280,1,1,MODLERAD,163,2001,392.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 15:00:00,DCNN,1280,1,1,MODLERAD,163,2001,122.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 16:00:00,DCNN,1280,1,1,MODLERAD,163,2001,7.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 17:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 18:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 19:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 20:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 21:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 22:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 23:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-30 23:59:00,DCNN,1280,24,1,DRADR35,163,2001,3841.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 00:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 01:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 02:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 03:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 04:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 05:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 06:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 07:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 08:00:00,DCNN,1280,1,1,MODLERAD,163,2001,119.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 09:00:00,DCNN,1280,1,1,MODLERAD,163,2001,356.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 10:00:00,DCNN,1280,1,1,MODLERAD,163,2001,634.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 11:00:00,DCNN,1280,1,1,MODLERAD,163,2001,421.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 12:00:00,DCNN,1280,1,1,MODLERAD,163,2001,331.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 13:00:00,DCNN,1280,1,1,MODLERAD,163,2001,443.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 14:00:00,DCNN,1280,1,1,MODLERAD,163,2001,259.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 15:00:00,DCNN,1280,1,1,MODLERAD,163,2001,97.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 16:00:00,DCNN,1280,1,1,MODLERAD,163,2001,4.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 17:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 18:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 19:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 20:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 21:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 22:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 23:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-01-31 23:59:00,DCNN,1280,24,1,DRADR35,163,2001,2664.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 00:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 01:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 02:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 03:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 04:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 05:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 06:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 07:00:00,DCNN,1280,1,1,MODLERAD,163,2001,4.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 08:00:00,DCNN,1280,1,1,MODLERAD,163,2001,58.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 09:00:00,DCNN,1280,1,1,MODLERAD,163,2001,140.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 10:00:00,DCNN,1280,1,1,MODLERAD,163,2001,184.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 11:00:00,DCNN,1280,1,1,MODLERAD,163,2001,295.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 12:00:00,DCNN,1280,1,1,MODLERAD,163,2001,227.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 13:00:00,DCNN,1280,1,1,MODLERAD,163,2001,104.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 14:00:00,DCNN,1280,1,1,MODLERAD,163,2001,36.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 15:00:00,DCNN,1280,1,1,MODLERAD,163,2001,86.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 16:00:00,DCNN,1280,1,1,MODLERAD,163,2001,4.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 17:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 18:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 19:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 20:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 21:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 22:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 23:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-01 23:59:00,DCNN,1280,24,1,DRADR35,163,2001,1138.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 00:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 01:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 02:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 03:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 04:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 05:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 06:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 07:00:00,DCNN,1280,1,1,MODLERAD,163,2001,7.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 08:00:00,DCNN,1280,1,1,MODLERAD,163,2001,155.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 09:00:00,DCNN,1280,1,1,MODLERAD,163,2001,457.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 10:00:00,DCNN,1280,1,1,MODLERAD,163,2001,720.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 11:00:00,DCNN,1280,1,1,MODLERAD,163,2001,472.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 12:00:00,DCNN,1280,1,1,MODLERAD,163,2001,392.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 13:00:00,DCNN,1280,1,1,MODLERAD,163,2001,454.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 14:00:00,DCNN,1280,1,1,MODLERAD,163,2001,202.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 15:00:00,DCNN,1280,1,1,MODLERAD,163,2001,119.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 16:00:00,DCNN,1280,1,1,MODLERAD,163,2001,4.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 17:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 18:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 19:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 20:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 21:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 22:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 23:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-02 23:59:00,DCNN,1280,24,1,DRADR35,163,2001,2981.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 00:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 01:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 02:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 03:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 04:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 05:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 06:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 07:00:00,DCNN,1280,1,1,MODLERAD,163,2001,7.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 08:00:00,DCNN,1280,1,1,MODLERAD,163,2001,104.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 09:00:00,DCNN,1280,1,1,MODLERAD,163,2001,227.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 10:00:00,DCNN,1280,1,1,MODLERAD,163,2001,220.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 11:00:00,DCNN,1280,1,1,MODLERAD,163,2001,169.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 12:00:00,DCNN,1280,1,1,MODLERAD,163,2001,151.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 13:00:00,DCNN,1280,1,1,MODLERAD,163,2001,187.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 14:00:00,DCNN,1280,1,1,MODLERAD,163,2001,126.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 15:00:00,DCNN,1280,1,1,MODLERAD,163,2001,47.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 16:00:00,DCNN,1280,1,1,MODLERAD,163,2001,7.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 17:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 18:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 19:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 20:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 21:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 22:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 23:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-03 23:59:00,DCNN,1280,24,1,DRADR35,163,2001,1246.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 00:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 01:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 02:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 03:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 04:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 05:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 06:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 07:00:00,DCNN,1280,1,1,MODLERAD,163,2001,4.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 08:00:00,DCNN,1280,1,1,MODLERAD,163,2001,7.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 09:00:00,DCNN,1280,1,1,MODLERAD,163,2001,18.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 10:00:00,DCNN,1280,1,1,MODLERAD,163,2001,43.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 11:00:00,DCNN,1280,1,1,MODLERAD,163,2001,83.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 12:00:00,DCNN,1280,1,1,MODLERAD,163,2001,54.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 13:00:00,DCNN,1280,1,1,MODLERAD,163,2001,61.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 14:00:00,DCNN,1280,1,1,MODLERAD,163,2001,43.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 15:00:00,DCNN,1280,1,1,MODLERAD,163,2001,14.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 16:00:00,DCNN,1280,1,1,MODLERAD,163,2001,4.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 17:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 18:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 19:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 20:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 21:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 22:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 23:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-04 23:59:00,DCNN,1280,24,1,DRADR35,163,2001,331.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 00:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 01:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 02:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 03:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 04:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 05:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 06:00:00,DCNN,1280,1,1,MODLERAD,163,2001,0.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 07:00:00,DCNN,1280,1,1,MODLERAD,163,2001,7.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 08:00:00,DCNN,1280,1,1,MODLERAD,163,2001,83.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 09:00:00,DCNN,1280,1,1,MODLERAD,163,2001,202.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 10:00:00,DCNN,1280,1,1,MODLERAD,163,2001,299.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 11:00:00,DCNN,1280,1,1,MODLERAD,163,2001,353.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
1994-02-05 12:00:00,DCNN,1280,1,1,MODLERAD,163,2001,162.0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
